		rf:fr_r	rf:fr_p	rf:star_r	rf:star_p	fr:star_r	fr:star_p			Gene type	Gene Name	fr	rf	star
	SGI75460105	0.597282625	0	0.145124434	2.97E-76	0.377804471	0							
rRNA	SGI75460067	0.977134424	1.09E-19	0.73465406	5.69E-06	0.814812965	7.43E-08							
	SGI75460068	0.96190942	9.77E-17	0.369461004	0.048551037	0.4580269	0.012468729							
	SGI75460075	0.816118831	6.81E-08	0.491938995	0.006717315	0.269119873	0.158036194							
	SGI75460076	0.980025973	1.79E-20	-0.008522116	0.96500406	-0.020748361	0.91492404							
	SGI75460103	0.977416048	9.23E-20	0.626546252	0.000276539	0.448366888	0.014711499							
	SGI75460104	0.990720669	6.08E-25	-0.068920664	0.722405189	-0.067549177	0.72771963							
	SGI75460105	0.989562858	2.95E-24	-0.062730267	0.746489316	-0.062678475	0.746691843							
scRNA	SGI75460067	0.985048279	0.014951721	0.982253695	0.017746305	0.999534422	0.000465578							
	SGI75460068	0.96663564	0.03336436	0.961269492	0.038730508	0.999701754	0.000298246							
	SGI75460075	0.946584697	0.053415303	0.906520493	0.093479507	0.993135395	0.006864605							
	SGI75460076	0.923291342	0.076708658	0.891960129	0.108039871	0.996765139	0.003234861							
	SGI75460103	0.911102674	0.088897326	0.883872944	0.116127056	0.997775603	0.002224397							
	SGI75460104	0.952738414	0.047261586	0.95663788	0.04336212	0.999769497	0.000230503							
	SGI75460105	0.926630554	0.073369446	0.900119831	0.099880169	0.99742588	0.00257412							
snRNA	SGI75460067	0.801578562	2.00E-34	0.074523974	0.36801987	0.241588853	0.003095608							
	SGI75460068	0.939884856	5.24E-70	0.071740231	0.386229921	0.192359656	0.019168789							
	SGI75460075	0.951893614	6.99E-77	0.03800753	0.646502174	0.133994428	0.104456631							
	SGI75460076	0.966902928	1.68E-88	0.05896172	0.476565124	0.172172122	0.036397702							
	SGI75460103	0.954894751	7.07E-79	0.145300201	0.078064456	0.204019363	0.01287618							
	SGI75460104	0.953211013	9.65E-78	0.08165117	0.323860642	0.147128113	0.074352469							
	SGI75460105	0.954443415	1.44E-78	0.039935644	0.629869165	0.150910895	0.06712388							
snoRNA	SGI75460067	0.992437437	0	0.956066092	0	0.962214229	0							
	SGI75460068	0.761872933	9.47E-236	0.788012753	4.59E-263	0.759991066	6.40E-234							
	SGI75460075	0.968294653	0	0.960620655	0	0.992499863	0							
	SGI75460076	0.827561482	1.030188733924e-312	0.806154293	2.07E-284	0.928895362	0							
	SGI75460103	0.910879488	0	0.891735434	0	0.961860852	0							
	SGI75460104	0.941464028	0	0.934904057	0	0.987304606	0							
	SGI75460105	0.833352745	4.753e-321	0.810629884	5.00E-290	0.943540868	0							
tRNA	SGI75460067	0.999939407	0	0.997672919	0	0.998101059	0							
	SGI75460068	0.999697787	0	0.992790514	0	0.994103392	0							
	SGI75460075	0.999866693	0	0.994775718	0	0.99567558	0							
	SGI75460076	0.998993158	0	0.977893689	2.45E-292	0.983647722	5.0266e-320							
	SGI75460103	0.999911935	0	0.997901085	0	0.998392237	0							
	SGI75460104	0.999981727	0	0.998871859	0	0.998926192	0							
	SGI75460105	0.999922363	0	0.997884847	0	0.998378633	0							
