		rf:fr_r	rf:fr_p	rf:star_r	rf:star_p	fr:star_r	fr:star_p
snoRNA	SGI75460075	0.969570488178888	0.0	0.953747739134428	0.0	0.983152581742631	0.0
snoRNA	SGI75460076	0.847581386199688	0.0	0.793920668049981	8.85173256223962e-270	0.911850351410754	0.0
snoRNA	SGI75460103	0.921846273976267	0.0	0.880721108691288	0.0	0.938447135586149	0.0
snoRNA	SGI75460104	0.95523629769068	0.0	0.945543548537592	0.0	0.985619070741409	0.0
snoRNA	SGI75460105	0.844835500961188	0.0	0.797556537036607	5.0589489525312e-274	0.921354548733075	0.0
tRNA	SGI75460067	0.999911861799211	0.0	0.996606385412117	0.0	0.997229374158424	0.0
tRNA	SGI75460068	0.999562982102396	0.0	0.989552397992918	0.0	0.991446672437264	0.0
tRNA	SGI75460075	0.999806099876759	0.0	0.992391938256756	0.0	0.993699027514618	0.0
tRNA	SGI75460076	0.998564713277	0.0	0.968194529338369	4.6569759531568303e-259	0.976386414068752	2.72594820627573e-286
tRNA	SGI75460103	0.999871684194998	0.0	0.996937577406783	0.0	0.997653025962898	0.0
tRNA	SGI75460104	0.999973196209538	0.0	0.998339388399661	0.0	0.998416685857895	0.0
tRNA	SGI75460105	0.999886857932962	0.0	0.996914835296756	0.0	0.997634223006845	0.0
