		rf:fr_r	rf:fr_p	rf:star_r	rf:star_p	fr:star_r	fr:star_p
snoRNA	SGI75460075	0.968294652614961	0.0	0.960620654689298	0.0	0.992499862682341	0.0
snoRNA	SGI75460076	0.827561481996326	1.030188733924e-312	0.806154292804137	2.0678371681490302e-284	0.928895361826526	0.0
snoRNA	SGI75460103	0.910879488150329	0.0	0.891735433609284	0.0	0.961860851649412	0.0
snoRNA	SGI75460104	0.941464027514219	0.0	0.934904057431923	0.0	0.987304605850731	0.0
snoRNA	SGI75460105	0.833352744560453	4.753e-321	0.810629884134573	4.9985689386572506e-290	0.943540868163039	0.0
tRNA	SGI75460067	0.999939406995805	0.0	0.997672918786766	0.0	0.998101058988249	0.0
tRNA	SGI75460068	0.999697786505246	0.0	0.992790513597864	0.0	0.994103392429141	0.0
tRNA	SGI75460075	0.999866692675997	0.0	0.994775717939261	0.0	0.995675579843475	0.0
tRNA	SGI75460076	0.998993158244209	0.0	0.977893688838275	2.4529468382211297e-292	0.983647722221801	5.0266e-320
tRNA	SGI75460103	0.999911935081683	0.0	0.997901084774574	0.0	0.998392236593132	0.0
tRNA	SGI75460104	0.999981727138268	0.0	0.998871859056953	0.0	0.998926192210205	0.0
tRNA	SGI75460105	0.999922363075044	0.0	0.997884847428313	0.0	0.998378633312499	0.0
